;AKAP8L;ARID3B;ARNTL;ATF3;ATF4;BACH2;BATF;BATF3;BBX;CREM;E2F1;E4F1;EGR1;EGR2;ELF4;ELK1;ELK3;ETS2;ETV3;ETV6;FOS;FOSL1;FOXJ2;FOXO1;GATAD2B;GMEB1;GTF2B;GTF3A;HBP1;HSF2;IRF4;KLF13;KLF6;LHX4;LYL1;MAX;MEF2A;MNT;MXD1;MYBL1;MYBL2;MYPOP;NCOA3;NFX1;NR1D1;NR1H2;NR2C1;NR2F6;PKNOX1;PLSCR1;PRMT3;RARG;RBCK1;RBSN;RELB;RORC;SETDB1;SMYD3;SP4;SREBF1;SRF;STAT3;STAT6;TBX21;TET2;TFAP4;TFCP2;TFDP1;THAP1;TP53;TRERF1;TRPS1;WT1;YBX3;ZBTB16;ZBTB17;ZBTB3;ZBTB39;ZBTB40;ZBTB45;ZFP1;ZFP30;ZFP37;ZFP62;ZFP64;ZFP69B;ZFPM1;ZKSCAN4;ZKSCAN7;ZNF107;ZNF121;ZNF131;ZNF134;ZNF138;ZNF154;ZNF155;ZNF160;ZNF180;ZNF200;ZNF202;ZNF226;ZNF227;ZNF234;ZNF235;ZNF239;ZNF250;ZNF254;ZNF256;ZNF264;ZNF268;ZNF284;ZNF287;ZNF317;ZNF324;ZNF324B;ZNF329;ZNF337;ZNF33A;ZNF35;ZNF354B;ZNF354C;ZNF365;ZNF367;ZNF396;ZNF397;ZNF429;ZNF43;ZNF451;ZNF471;ZNF483;ZNF493;ZNF501;ZNF507;ZNF510;ZNF513;ZNF527;ZNF530;ZNF546;ZNF549;ZNF554;ZNF555;ZNF562;ZNF563;ZNF574;ZNF585A;ZNF586;ZNF589;ZNF599;ZNF615;ZNF619;ZNF620;ZNF621;ZNF629;ZNF649;ZNF669;ZNF672;ZNF675;ZNF718;ZNF746;ZNF766;ZNF776;ZNF777;ZNF784;ZNF787;ZNF789;ZNF79;ZNF808;ZNF823;ZNF827;ZNF844;ZNF879;ZNF880;ZSCAN12;ZSCAN2;ZSCAN20;ZSCAN21;ZXDC
AKAP8L;-1;0;0;0;0;0;0,065132483;0;0;0;0;0;0;0;0;0;0,06282146;0,041024673;0;0;0;0;0;0;0;0;0,080108916;-0,086961969;0;0;-0,094569798;0;0;0;0;0;0;0;0;0,009686459;0;0,04696789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,042398666;0;0;0;0;0,142902349;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000177298;-0,049248509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,079040042;0;0;0,030077406;0;0;0;0;0;0;0;0;0;0;0;0;0,046310632;0;0;0;0;0;0;0;0;0;0;0;-0,004441949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,012206949;0;0;0;0;0;0;0,059606098;0;0;0;0;0;0;0;0
ARID3B;0;-1;0;0;0;-0,055171725;0;0;0;0;0;0;0;0,013610723;0,060027328;0,069762499;0,042322052;0;0;0;0;0;0;0;0;-0,007741232;0;0;0;0;0,050779772;0;0;-0,034016715;0;0;0;0;0;0;0,041281795;0;0;0,062410031;0,020427221;0;0;0;0;0;0;0,069982255;0;0;0;0;0;0;-0,052565237;-0,026337816;0;0,139008488;0,005868246;0;0,057335843;0;0;0;0;0,000926677;0;0;0;0;0,000863181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,079626974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,083648402;0;0;0;0;0;-0,00117731;0;0;0;0;0;0;0;0;-0,03106235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,054512083;-0,049869785;0;0,030811522;-0,001263903;0;0;0;0;0;0;0;0,056570447;0;0;0;0;0;0;0;0;0,002777357;0;0;0;0;0;0;-0,001162453;0;0;0;0;0
ARNTL;0;0;-1;0;0;0;-0,115509365;0;0;0;0;0;0;0;0;0;0,124555948;0;0,02227076;0;0;0;0;0;0;0;0;0;0;0,072040392;-0,046378032;0;0;0;0;0;0;0;0,03582522;0;0;0;0;0,072356258;0;-0,000113931;0,064653823;0;0,040681406;0,041187046;0;0;-0,154340843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,029817099;0;0,006450676;0;0;0;0;0;0;0;0,039111572;-0,055847882;0;-0,008692476;0;0;0;0;0;0;0;0;-0,034964932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,027417002;0;0;-0,005215857;0;0,076764998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,040732974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,03740056;0;0;0;0;0
ATF3;0;0;0;-1;0;0,202188656;0,37300204;0,210088376;0;0;0;0;0;0,086171793;0;0;0;0;0;0;0;0;0;0;0,345279085;0;0;0;0;0;0;0;0;0,002099845;0;0;0;0;0;0;0;0;-0,230961564;0;0;0;0;0;0;0;0;0;0;0,033818798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,156660218;0;0;0;0;0;0;0;0;0;0;0;0;0,082035237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,228360388;0;0;0;0,037097091;0;0;0;0;0;0;0;0;0;0,062124226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,065455445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,028956982;0;0,04705456;0;0
ATF4;0;0;0;0;-1;0;0,111503913;0;0,037685854;0,001784788;0,02780027;0;0,021629577;0;0;0;0;0,008002972;-0,032051961;0;0;0;0;0,062390288;0;0;0,055245755;-0,161000599;0;0;0,01923069;0,083251099;-0,121388141;-0,000221476;0;0;0,025260787;0;-0,049185904;0,004220322;0,064954819;0,019384207;-0,049834873;0;0;-0,127484344;0,005472522;0;-0,001225915;-0,017763081;-0,055133708;0;0,078659926;0;0,017567573;0;0,037293071;0;0;0;0,016344175;-0,235864685;0;0;0;0;0;0,047580918;0;0,032733798;-0,000334202;0;8,57539E-05;0;0;0,109135358;0;0;0;0;0;0;0;0;0;0;0;0,029126569;0;0;-0,008302785;0;0;0;0;0;0,022389604;0;0;0;0;0,000590398;-0,017210172;0;0;0;0;0;0,045738078;0,054665193;0;0;0;0;0;0;0,023338389;0,057831427;0;0;0;-0,006407323;0;0;0;-0,03335262;0,008225074;-0,048759055;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,039766877;0;-0,057315285;0;0,022230638;0,02858523;0;0;0;0;0;0;0;0;0;0;0;0,002012234;-0,087893661;0;0,002010721;0;0,037734649;0;0;0;0,000546019;0;0;0;-0,044853641;0;0;0;0;0
BACH2;0;-0,109755561;0;0,018674901;0,096237764;-1;-0,239119496;-0,048978799;0;0;0;0;-0,046198773;0;0;0;0;0;0;0;0;0;0;0,214441184;0,121217635;0;0;-0,197804455;0;0;0;0;0,132484817;0;0;0;0;0,100275125;-0,03523693;0,03688331;0;0;0,099009713;0;0;0;0;0;0;0,000339152;0;0;0;0;0;0;0;0;0;0;0,118580654;-0,128371115;0;0;0;0;0;0;0;0;0,032490122;0,064880221;0;0;0;0;0;0;0,114657074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08755317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,099564537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,015152673;0;0,058244301;0;0,041470815;0;0;0;0;0,013788084;0;0;0;0;0;0,041954213;-0,155232299;0;0;0;0,079693417;0;0;0;0;0,063082683;0;0;0;0;0;0;0;0,053126487
BATF;0,023304453;0;-0,060622111;0;0,101450379;-0,021615608;-1;0,11538785;0;0,087452405;-0,066692109;0;0;0;-0,021814464;0;0;0;0;0,034662281;0,002030623;-0,005536431;0;0;0;0;0,090463654;0;-0,050189961;0;0;0;-0,048832279;0;0;-0,080922773;0;0;0,022774559;-0,011940675;0;0,03485792;0,048821678;0;0;0,052988348;0;0,021274515;0;0;0;-0,044586302;0,105952976;-0,034614212;0,025584472;0;0;0;-0,075743998;0;0,042576806;0;0;0;-0,034709095;0;0;0;0;-0,037722985;0;0;0;0,00940157;0;0,008266169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,035680668;0;0;0;0;-0,039748565;0;0;0;0;0;0;0;0;0;0;0;0;-0,031829825;0;0;0;0;0;0;0;0;0;0,004094856;0;0;0;0;0;0;-0,013121641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,008305353;0;0;0;0;0;0;0;0;0;0;0;0;-0,065521847;0;0;0;0;0;0;0;0;0;0;0;0,04004189;0;0,025063045;0;0;0
BATF3;0,065938027;0;0;-0,001868559;0;-0,035145013;0,499600537;-1;0;0,123453296;0;0;0,02056992;0,036256592;-0,056364709;0;-0,008632514;0;0;-4,40021E-05;-0,000381609;0,009631472;-0,036825731;0;-0,015074524;0;0;0,268023907;-0,086032704;0;0,122687934;0;-0,157543466;-0,006327556;-0,020118255;0;0,092676911;0;-0,001257474;0;0,134391322;0;0,075574346;0;0;0;-0,077990522;0;0,07695108;0,162189759;0,021590524;0;0;0;0,130887025;-0,057733345;0;0;0;0;0;0,115261998;0;0,009448188;0;0;0,008808881;0;0;0,085290819;0;0;0;0,005317455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,039381595;0;0;0;-0,11500026;0;0;0;0;0;0;0;0;0;0;0;-0,087845837;-0,075608043;0;0;5,5025E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,001153349;0;-0,036490661;0;0;0;0;0;0;-0,000433356;0,000153657;0;0;0;0;0;0;-0,040544747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005039357;0;0
BBX;0;0;0;0;0,081307575;0;0,007870254;0;-1;0;-0,002525575;0;0;0;0;-0,020523447;-0,017405046;0,042984081;-0,002437085;0;-0,004285862;0;-0,007083787;0,071148656;0;0,077968226;0,002662542;0;0;0;0;0,193602979;0,359503672;0;0;-0,097540113;0,077313149;0;0;0;0;0;0,03179505;0;0;0;0;0;0;0;0,010966156;0;0;0;-0,0456795;0;0;0;0;0,000855051;0;0,098923243;0;-0,024784019;0,020005087;0;0;-0,008057631;0;0;0;0,025713314;0;0;0,050539097;0,033714816;0;0;-0,025564517;0;0;0;0;0;0;0;0;0;0;0;0,042166335;0,104900933;0;0;0;0;0,053028737;0;0;0;0;0;0,029637512;0;0;0;0;0;0;0;0;0;0;0;0;0;0,045587623;-0,051077613;0;0;0;0;0;0;0,053962355;0;0,020862988;0;0;0;0,06116887;0;0;0;0;0;0,013790144;0;0;0;0;0;0;0;0;0;-0,002143259;0;0;0;-0,007689725;0;0;0,012493128;0;0;0;0;0;0,064110348;-0,007267442;0;0;0;0;0;0;0;0,042774447;0;0;-0,048630581;0;0;0;0;0
CREM;0;0;0;-0,001253585;-1,08858E-05;0;0,060022398;0;0;-1;0;0;0;0,057566097;-0,003841376;0;0;0;0;0;0;-0,004599831;0;-0,030518139;0;0;0,082954909;0;0;0;0;-0,045933765;0,037573965;0;0;-0,04007432;-0,000467943;-0,012061906;0;0;0;0;0;0;-0,037531566;-0,077798535;0;0;0;0,062079157;0;0,001026672;0;-0,013620792;0,094381237;0;0;0;-0,025534558;-0,054384646;0;0;-0,048916822;-0,001236314;0;0,003122127;-0,001300699;0;0,037006877;0;-0,006353153;0;0;-0,020814063;0,023213076;0;-0,032090509;0;0;0;0;0;0;0;0;8,21428E-05;0;0;0;0;0;-0,084399996;0;0;0;0;-0,052968106;0;0,04655079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,040501223;0;-0,000199053;0;0;0;0;0;0;0;-0,016326927;-0,000270355;0;0;0,001044143;0;0;0;0;0;0;0;0;0;0;0;0;-0,024782899;0;0;0;0;0;0;0;0;0;0;0;0;-0,029430821;0;0;0;0;0;0;0;0;-0,017159898;0;0;0;0;0;0;0;0,005325514;0;0;0
